match_id,season,round_number,total_score,temperature,match_title,home_away,behinds,goals,ratio,score,scorediff,team
CD_M20202640706,2020,7,NA,NA,Fremantle vs Melbourne,away,NA,NA,NA,NA,NA,Melbourne
CD_M20202640706,2020,7,NA,NA,Fremantle vs Melbourne,home,NA,NA,NA,NA,NA,Fremantle
CD_M20202640707,2020,7,NA,NA,Collingwood vs St Kilda,away,NA,NA,NA,NA,NA,St Kilda
CD_M20202640707,2020,7,NA,NA,Collingwood vs St Kilda,home,NA,NA,NA,NA,NA,Collingwood
CD_M20202640801,2020,8,NA,NA,Western Bulldogs vs GWS Giants,away,NA,NA,NA,NA,NA,GWS Giants
CD_M20202640801,2020,8,NA,NA,Western Bulldogs vs GWS Giants,home,NA,NA,NA,NA,NA,Western Bulldogs
CD_M20202640802,2020,8,NA,NA,Carlton vs Fremantle,away,NA,NA,NA,NA,NA,Fremantle
CD_M20202640802,2020,8,NA,NA,Carlton vs Fremantle,home,NA,NA,NA,NA,NA,Carlton
CD_M20202640803,2020,8,NA,NA,Geelong Cats vs Collingwood,away,NA,NA,NA,NA,NA,Collingwood
CD_M20202640803,2020,8,NA,NA,Geelong Cats vs Collingwood,home,NA,NA,NA,NA,NA,Geelong Cats
CD_M20202640804,2020,8,NA,NA,Brisbane Lions vs Kangaroos,away,NA,NA,NA,NA,NA,Kangaroos
CD_M20202640804,2020,8,NA,NA,Brisbane Lions vs Kangaroos,home,NA,NA,NA,NA,NA,Brisbane Lions
CD_M20202640805,2020,8,NA,NA,Adelaide Crows vs Richmond,away,NA,NA,NA,NA,NA,Richmond
CD_M20202640805,2020,8,NA,NA,Adelaide Crows vs Richmond,home,NA,NA,NA,NA,NA,Adelaide Crows
CD_M20202640806,2020,8,NA,NA,Melbourne vs Gold Coast Suns,away,NA,NA,NA,NA,NA,Gold Coast Suns
CD_M20202640806,2020,8,NA,NA,Melbourne vs Gold Coast Suns,home,NA,NA,NA,NA,NA,Melbourne
CD_M20202640807,2020,8,NA,NA,West Coast Eagles vs St Kilda,away,NA,NA,NA,NA,NA,St Kilda
CD_M20202640807,2020,8,NA,NA,West Coast Eagles vs St Kilda,home,NA,NA,NA,NA,NA,West Coast Eagles
